Course_Code,Course_Title,L-T-P-S-C,Faculty,Semester_Half,Elective
MA261,Differential Equations,3-1-0-0-2,Dr. Anand Barangi,1,0
MA262,Multivariate Calculus,3-1-0-0-2,Dr. Somen Bhattacharjee,2,0
MA263,Random Process,3-1-0-0-2,Dr. Chinmayananda A,1,0
EC261,Signals & Systems,2-1-0-0-3,Dr. Somen Bhattacharjee,2,0
EC262,Semiconductor Devices,3-0-2-0-2,Dr. Pankaj Kumar,1,0
EC465,Analog Electronic Circuits,3-0-2-0-2,Dr. Rajesh Kumar,2,0
CS307,Machine Learning,3-1-0-0-4,Dr. Deepak K. T.,2,0
HS201,HSS/IE,3-0-0-0-3,Dr.Aswath babu,0,0
EC251,Electronics System Design-I,2-0-0-0-2,Dr. Pankaj,1,1
EC252,Introduction to RFIC Design,2-0-0-0-2,Dr. Rajesh Kumar,1,1
Blank,Introduction to Embedded Signal Intelligence,2-0-2-4-2,Dr. Sibasankar Padhy,2,1
Blank,Electronic Systems Engineering,2-0-0-0-2,Mr. Mallikarjun Kande,1,1
CS152,Data Science with Python,2-0-0-0-2,Dr. Abdul Wahid,1,1
Blank,User Interaction and Experience Design,4-0-0-0-4,Dr. Sandesh P,2,1
EC251,2D Computer Graphics,2-0-0-0-2,Dr. Vivekaraj,2,1
